Mass,Scale Reading,Stretch,Stress,Strain,Stress/Strain,,Diameter,Area,Length
1,2.10E-02,1.00E-03,5551324.415,5.00E-04,1.11E+10,,1.50E-03,0.000001767145868,2
2,2.20E-02,2.00E-03,11102648.83,1.00E-03,1.11E+10,,,,
3,2.40E-02,4.00E-03,16653973.25,2.00E-03,8.33E+09,,,,
4,2.60E-02,6.00E-03,22205297.66,3.00E-03,7.40E+09,,,,
5,2.80E-02,8.00E-03,27756622.08,4.00E-03,6.94E+09,,,,
6,3.00E-02,1.00E-02,33307946.49,5.00E-03,6.66E+09,,,,
7,3.30E-02,1.30E-02,38859270.91,6.50E-03,5.98E+09,,,,
8,3.60E-02,1.60E-02,44410595.32,8.00E-03,5.55E+09,,,,
9,3.80E-02,1.80E-02,49961919.74,9.00E-03,5.55E+09,,,,
10,4.10E-02,2.10E-02,55513244.15,1.05E-02,5.29E+09,,,,
11,4.40E-02,2.40E-02,61064568.57,1.20E-02,5.09E+09,,,,
12,4.80E-02,2.80E-02,66615892.98,1.40E-02,4.76E+09,,,,
13,5.30E-02,3.30E-02,72167217.4,1.65E-02,4.37E+09,,,,
14,5.90E-02,3.90E-02,77718541.81,1.95E-02,3.99E+09,,,,
15,6.80E-02,4.80E-02,83269866.23,2.40E-02,3.47E+09,,,,